date,retweets,likes
2012-09-13,12036,3566
2012-09-14,3852,1974
2012-09-17,15842,8099
2012-09-18,4769,1289
2012-09-19,4498,1213
2012-09-20,1576,552
2012-09-21,8381,7185
2012-09-24,6437,3688
2012-09-25,4334,1404
2012-09-26,10723,6651
2012-09-27,5273,3067
2012-09-28,3883,1233
2012-10-01,4615,1825
2012-10-02,9808,3423
2012-10-03,8700,6507
2012-10-04,9235,3509
2012-10-05,920,314
2012-10-08,41448,51916
2012-10-09,35740,22924
2012-10-10,12243,7065
2012-10-11,23810,19994
2012-10-12,7217,2669
2012-10-13,4779,3863
2012-10-14,107708,124659
2012-10-15,16335,12290
2012-10-16,51722,66453
2012-10-17,113385,102241
2012-10-18,20510,17077
2012-10-19,26426,18705
2012-10-21,2299,1216
2012-10-22,86872,90530
2012-10-23,38882,19425
2012-10-24,16540,5197
2012-10-25,9651,4127
2012-10-26,11573,8050
2012-10-27,2477,1759
2012-10-28,10639,11118
2012-10-29,7699,4366
2012-10-30,39248,31105
2012-10-31,13495,6474
2012-11-01,6459,2226
2012-11-02,16220,7096
2012-11-03,1367,323
2012-11-04,8501,3874
2012-11-05,15361,5458
2012-11-06,144298,90296
2012-11-07,333976,223911
2012-11-08,16673,6214
2012-11-09,7038,4254
2012-11-10,13726,16285
2012-11-11,2628,2421
2012-11-12,5360,2206
2012-11-13,14880,11301
2012-11-14,6913,4650
2012-11-15,8128,6098
2012-11-16,1744,656
2012-11-19,26286,28049
2012-11-20,8087,5598
2012-11-21,11120,11787
2012-11-25,17549,16931
2012-11-26,4811,2312
2012-11-27,6726,4636
2012-11-28,6984,3791
2012-11-29,8440,8650
2012-11-30,1433,918
2012-12-03,3670,1907
2012-12-04,2634,1220
2012-12-05,4474,5183
2012-12-06,8560,5453
2012-12-07,5346,2541
2012-12-10,19428,21248
2012-12-11,6464,3314
2012-12-12,9463,4716
2012-12-13,149,50
2012-12-14,170,57
2012-12-15,1377,514
2012-12-17,5104,3980
2012-12-18,14043,13414
2012-12-19,3423,2312
2012-12-20,3635,2279
2012-12-21,2724,1890
2012-12-23,72,87
2012-12-24,556,584
2012-12-26,812,410
2012-12-27,1454,722
2012-12-28,6280,2701
2013-01-01,2430,1228
2013-01-02,4995,3068
2013-01-03,26833,32106
2013-01-04,4919,2606
2013-01-07,3521,1600
2013-01-08,6412,5203
2013-01-09,9224,11202
2013-01-10,5562,3696
2013-01-11,7638,6086
2013-01-14,13779,9789
2013-01-15,9523,6579
2013-01-16,934,671
2013-01-17,7314,5018
2013-01-18,4822,2738
2013-01-21,4008,1822
2013-01-22,5529,4561
2013-01-23,17824,10848
2013-01-24,2566,1231
2013-01-25,8210,6334
2013-01-28,2793,1140
2013-01-29,2751,1211
2013-01-30,6740,6298
2013-01-31,38584,29283
2013-02-01,4222,2784
2013-02-04,6970,3108
2013-02-05,7535,7289
2013-02-06,11838,11019
2013-02-07,14873,10833
2013-02-08,1727,760
2013-02-10,695,630
2013-02-11,2013,1935
2013-02-12,12874,8324
2013-02-13,11644,10294
2013-02-14,8999,8816
2013-02-15,15109,17336
2013-02-17,137,64
2013-02-19,9198,6363
2013-02-20,4764,2839
2013-02-21,7787,6058
2013-02-22,2329,1233
2013-02-23,604,225
2013-02-24,1568,1514
2013-02-25,40371,49943
2013-02-26,3622,1912
2013-02-27,6978,6283
2013-02-28,3917,1722
2013-03-01,10353,9800
2013-03-02,2846,3329
2013-03-03,920,730
2013-03-04,5106,4250
2013-03-05,2574,1411
2013-03-06,61762,72332
2013-03-07,813,529
2013-03-08,2498,1236
2013-03-09,314,132
2013-03-10,132,162
2013-03-11,7892,8969
2013-03-12,3785,1459
2013-03-13,2635,1697
2013-03-14,2994,2131
2013-03-15,862,596
2013-03-16,949,655
2013-03-17,428,264
2013-03-18,3457,3570
2013-03-19,20436,22186
2013-03-20,3714,2468
2013-03-21,12081,9831
2013-03-22,3670,3081
2013-03-23,605,495
2013-03-24,254,180
2013-03-25,3768,1639
2013-03-26,5486,3483
2013-03-27,1795,1231
2013-03-28,2898,2146
2013-03-29,2817,1246
2013-03-30,2302,1500
2013-03-31,1096,1382
2013-04-01,6111,6144
2013-04-02,4472,2365
2013-04-03,6916,6420
2013-04-04,1683,883
2013-04-05,3748,2723
2013-04-06,76,45
2013-04-07,3156,2201
2013-04-08,2643,1445
2013-04-09,1252,946
2013-04-10,16064,11749
2013-04-11,3408,2143
2013-04-12,5772,4217
2013-04-13,1963,1550
2013-04-14,926,734
2013-04-15,1383,1124
2013-04-16,4743,2927
2013-04-17,5069,3434
2013-04-18,6293,5115
2013-04-19,1340,574
2013-04-20,15927,15875
2013-04-21,65410,104925
2013-04-22,7354,4483
2013-04-23,6407,7156
2013-04-24,16972,17990
2013-04-25,5140,6319
2013-04-26,3775,2017
2013-04-27,11610,8285
2013-04-28,125,84
2013-04-29,2584,2881
2013-04-30,1600,1048
2013-05-01,3527,3213
2013-05-02,6927,5291
2013-05-03,49904,51042
2013-05-05,20,11
2013-05-06,1897,1269
2013-05-07,1876,918
2013-05-08,24150,18019
2013-05-09,132744,161604
2013-05-10,1160,862
2013-05-11,4801,5854
2013-05-12,369,252
2013-05-13,3089,2688
2013-05-14,4158,3495
2013-05-16,4357,3186
2013-05-17,4350,3812
2013-05-18,258,204
2013-05-19,3286,2870
2013-05-20,1028,817
2013-05-21,1319,1038
2013-05-22,2697,3680
2013-05-23,2208,1792
2013-05-24,5086,4310
2013-05-25,2324,2674
2013-05-26,26422,27654
2013-05-27,1348,973
2013-05-28,7671,6156
2013-05-29,2974,1944
2013-05-30,5054,3204
2013-05-31,2248,1423
2013-06-01,78,50
2013-06-03,2039,2691
2013-06-04,1499,1654
2013-06-05,12887,12367
2013-06-06,939,463
2013-06-07,377,274
2013-06-08,94,76
2013-06-10,2116,1198
2013-06-11,2716,1641
2013-06-12,2053,1445
2013-06-13,2544,2368
2013-06-14,1253,594
2013-06-15,65,42
2013-06-16,37511,42574
2013-06-17,1128,887
2013-06-18,6670,6010
2013-06-19,72145,58483
2013-06-20,3231,2492
2013-06-21,2622,1521
2013-06-22,154,142
2013-06-23,268,299
2013-06-24,1478,853
2013-06-25,2457,1586
2013-06-26,3284,2199
2013-06-27,3306,4067
2013-06-28,2314,1066
2013-06-29,291,232
2013-06-30,35829,44471
2013-07-01,17254,16984
2013-07-02,3016,1680
2013-07-03,1903,1224
2013-07-04,12124,17987
2013-07-05,739,548
2013-07-06,3783,3424
2013-07-07,450,234
2013-07-08,2753,1585
2013-07-09,4168,3933
2013-07-10,4090,2882
2013-07-11,2303,1571
2013-07-12,416,190
2013-07-13,621,394
2013-07-14,5515,3848
2013-07-15,1607,848
2013-07-16,3947,2811
2013-07-17,5840,3010
2013-07-18,11724,12486
2013-07-19,3169,2880
2013-07-21,206,218
2013-07-22,670,370
2013-07-23,10196,6840
2013-07-24,6612,4455
