Word,Occurance
sadly,83
ads,83
carson,83
hits,83
confidence,83
serious,82
doubt,82
putting,82
plans,82
strength,82
situation,82
powerful,82
wh,81
found,81
surprise,81
bringing,81
department,81
vp,81
judge,81
americas,81
rating,81
helping,81
super,81
movement,81
dopey,81
reality,81
announcement,81
rich,81
university,81
dream,81
message,81
whistleblower,81
east,81
jebbush,80
food,80
pageant,80
view,80
opportunity,80
piersmorgan,80
short,80
excellent,80
group,80
runs,80
japan,80
relationship,80
politician,80
nevada,80
apologize,80
different,79
passed,79
calls,79
created,79
named,79
ag,79
hurricane,79
experience,79
afraid,79
room,79
trumpforpresident,78
host,78
ice,78
un,78
bei,78
meetings,78
award,78
hall,78
missed,78
issue,78
heart,78
forced,78
views,78
brilliant,78
crisis,77
daca,77
reported,77
disgrace,77
let’s,77
hurt,77
businessman,77
nato,77
mean,76
moving,76
biased,76
month,76
private,76
scott,76
tom,76
et,76
financial,76
criminal,76
spend,76
honest,76
breitbartnews,76
midas,76
trillion,75
jeff,75
hero,75
credibility,75
calling,75
sanders,75
comments,75
website,75
oh,75
written,75
illegally,75
attorney,75
outside,74
imagine,74
inspiration,74
mention,74
phone,74
anyway,74
demand,74
ideas,74
spectacular,74
passion,74
cast,74
whether,73
troops,73
louisiana,73
often,73
replace,73
signing,73
lied,73
evidence,73
cover,73
father,73
funny,73
seems,73
luxury,73
france,73
strongly,73
trust,73
books,73
ad,73
greatly,73
anymore,73
hand,72
enjoyed,72
racist,72
pressure,72
fine,72
monster,72
king,72
works,72
decades,72
common,72
sources,71
player,71
career,71
sold,71
changed,71
themselves,71
appreciate,71
negotiation,71
statements,71
received,71
looked,71
georgia,70
karlrove,70
favor,70
illegals,70
sometimes,70
opening,70
omarosa,70
steel,70
sick,70
victims,70
red,70
corruption,70
allstar,69
amnesty,69
third,69
missuniverse,69
director,69
liberal,69
immigrants,69
terrorist,69
shirts,69
clean,69
plus,69
isn’t,69
turkey,69
exactly,69
dannyzuker,69
careful,68
offers,68
trump’s,68
charge,68
schumer,68
dummy,68
majority,68
billionaire,68
you’re,68
estate,68
palm,68
local,68
thursday,68
wouldnt,68
benghazi,68
sleepy,68
focused,68
summit,68
dossier,68
sell,68
expected,67
resort,67
rosie,67
five,67
courage,67
beyond,67
shot,67
held,67
peace,67
county,67
picture,67
address,67
courses,67
socalled,67
tuned,67
biden,67
heroes,67
involved,67
va,67
whatever,67
union,67
gun,67
dan,67
response,67
tried,67
myself,67
broken,66
june,66
chairman,66
health,66
conservative,66
setting,66
crowds,66
ass,66
americafirst,66
chief,66
players,66
votetrump,66
park,66
water,65
trouble,65
sent,65
opec,65
return,65
manufacturing,65
melaniatrump,65
ur,65
tea,65
piece,65
patriots,65
europe,65
fans,65
seriously,65
bills,65
kevin,65
stopped,64
definitely,64
hillaryclinton,64
guess,64
genius,64
lucky,64
squawkcnbc,64
raised,64
popular,64
celebrate,64
pick,64
terrorists,64
indiana,64
crimes,64
field,64
mrtrump,64
social,64
trip,64
fall,64
step,63
simple,63
pushing,63
shooting,63
dropped,63
thinks,63
hold,63
prez,63
collection,63
disgusting,63
currency,63
kelly,63
agreement,63
est,62
conversation,62
kasich,62
arod,62
brandiglanville,62
africa,62
puerto,62
straight,62
maralago,62
known,62
spirit,62
reports,62
telling,62
necessary,62
proven,62
human,62
offer,61
rates,61
ivanka,61
clear,61
track,61
couldnt,61
arrived,61
certain,61
later,61
trumptowerny,61
rico,61
peter,61
effort,61
whose,61
ok,61
among,61
lady,61
barack,61
brian,61
realize,61
advantage,61
msnbc,61
mccain,61
front,61
role,60
hey,60
nights,60
sanctions,60
attacks,60
discuss,60
community,60
theyre,60
patrol,60
claims,60
hands,60
san,60
rated,60
outstanding,60
rnc,60
kentucky,60
clue,60
lying,60
hosting,60
momentum,60
wishes,60
sending,60
became,59
anybody,59
deficit,59
innocent,59
al,59
recent,59
insurance,59
saved,59
hi,59
expensive,59
wsj,59
citizens,59
finished,59
ford,59
negotiations,59
secret,59
shes,59
vision,59
hour,58
bet,58
keeping,58
xi,58
dying,58
destroyed,58
project,58
flag,58
saudi,58
talented,58
boardroom,58
coverage,58
presidents,58
morningjoe,58
desperate,58
debates,58
soldiers,58
dem,58
key,58
uk,58
seem,57
defeat,57
cpac,57
cause,57
worry,57
signature,57
becoming,57
facebook,57
rights,57
shutdown,57
serve,57
threat,57
opinion,57
single,57
loudobbs,57
i’ve,57
wwe,57
cool,57
enemies,57
according,57
program,57
cities,57
businesses,56
hotels,56
transcript,56
trial,56
write,56
fail,56
gold,56
alone,56
buying,56
scandal,56
happens,56
speaks,56
fortune,56
nasty,56
youll,56
available,56
concerning,55
recently,55
responders,55
cbs,55
stuff,55
desperately,55
opponent,55
executive,55
wealth,55
establishment,55
product,55
might,55
germany,55
officers,55
wrote,55
senators,55
remain,55
completely,55
aberdeen,55
b,55
oscars,55
afternoon,55
politico,54
jon,54
listening,54
reporter,54
model,54
matt,54
committed,54
weapons,54
ireland,54
wasn’t,54
t,54
negotiate,54
starts,54
returns,54
drop,54
intl,54
rep,54
greater,54
rule,54
board,54
colorado,54
mexican,54
costs,54
gotten,54
america’s,54
officials,54
entrepreneur,54
rules,53
black,53
anywhere,53
daily,53
cnbc,53
icymi,53
theres,53
anniversary,53
sc,53
current,53
defend,53
anthony,53
hundreds,53
showed,53
fema,53
tweeting,53
approved,53
impact,53
travel,53
loss,53
construction,53
eyes,53
jim,52
solution,52
games,52
jong,52
handle,52
joan,52
legislation,52
dirty,52
fame,52
behalf,52
standard,52
joanrivers,52
todayshow,52
rid,52
inside,52
packed,52
wasting,52
reserve,52
died,52
warren,52
mcuban,52
property,52
knowledge,52
flotus,52
acting,52
—,51
gdp,51
speaker,51
winners,51
d,51
double,51
result,51
near,51
cute,51
further,51
closely,51
carter,51
destroying,51
boston,51
spy,51
mine,51
january,51
solve,51
deserve,51
difference,51
cold,50
impeach,50
stage,50
egypt,50
guest,50
within,50
climate,50
vanityfair,50
keeps,50
led,50
predicted,50
guys,50
nflcommish,50
foundation,50
expect,50
lawyers,50
events,50
gov,50
championship,50
cutting,50
ones,50
review,50
fool,49
unless,49
grand,49
consider,49
green,49
beauty,49
quote,49
guns,49
weiner,49
somebody,49
representatives,49
pro,49
rock,49
alltime,49
quit,49
forbes,49
position,49
pleased,49
they’re,49
terror,49
kill,49
danscavino,49
concerned,49
ronald,49
begin,49
likewise,49
born,49
coast,49
afghanistan,49
responsible,49
la,49
deliver,48
oval,48
polling,48
memorial,48
criminals,48
treat,48
importantly,48
funding,48
sound,48
arabia,48
usual,48
present,48
forever,48
mainstream,48
industry,48
politically,48
photo,48
rick,48
newsmax,48
staying,48
opportunities,48
judges,48
ugly,48
kids,48
arent,48
ben,48
following,48
tie,48
itself,48
simply,48
apple,48
sue,48
henry,48
washingtonpost,48
central,48
living,48
geraldorivera,48
deserves,48
ukrainian,48
letter,48
usmca,47
places,47
secure,47
upcoming,47
protecting,47
succeed,47
european,47
attention,47
nh,47
fought,47
voter,47
sanctuary,47
infrastructure,47
russians,47
schneiderman,47
negotiating,47
iranian,47
rove,47
atlantic,47
faith,47
prepared,47
couldn’t,47
libya,47
form,47
keystone,47
fabulous,47
