Word,Occurance,Type-of-word
nights,60,NNS
sanctions,60,NNS
attacks,60,NNS
community,60,NN
theyre,60,NN
patrol,60,NN
san,60,JJ
outstanding,60,JJ
rnc,60,NN
clue,60,JJ
momentum,60,NN
wishes,60,NNS
anybody,59,NN
deficit,59,NN
innocent,59,NN
al,59,NN
recent,59,JJ
insurance,59,NN
expensive,59,JJ
wsj,59,NN
citizens,59,NNS
ford,59,JJ
negotiations,59,NNS
secret,59,JJ
shes,59,NNS
hour,58,NN
bet,58,NN
xi,58,JJ
destroyed,58,JJ
project,58,NN
flag,58,NN
saudi,58,NN
boardroom,58,NN
coverage,58,NN
presidents,58,NNS
desperate,58,JJ
debates,58,NNS
soldiers,58,NNS
key,58,JJ
uk,58,JJ
defeat,57,JJ
cpac,57,NN
cause,57,NN
worry,57,NN
signature,57,NN
facebook,57,NN
rights,57,NNS
threat,57,NN
opinion,57,NN
single,57,JJ
loudobbs,57,NN
i’ve,57,NN
wwe,57,JJ
cool,57,NN
enemies,57,NNS
program,57,NN
cities,57,NNS
businesses,56,NNS
hotels,56,NNS
trial,56,NN
write,56,NN
gold,56,NN
scandal,56,NN
speaks,56,NNS
fortune,56,NN
nasty,56,JJ
youll,56,NN
available,56,JJ
responders,55,NNS
stuff,55,NN
opponent,55,JJ
executive,55,NN
wealth,55,NN
establishment,55,JJ
product,55,NN
officers,55,NNS
senators,55,NNS
aberdeen,55,JJ
b,55,NN
oscars,55,NNS
afternoon,55,NN
politico,54,NN
jon,54,NN
reporter,54,JJR
model,54,NN
matt,54,NN
weapons,54,NNS
wasn’t,54,JJ
t,54,NN
negotiate,54,NN
returns,54,NNS
drop,54,NN
rep,54,NN
greater,54,JJR
rule,54,NN
board,54,NN
colorado,54,NN
mexican,54,JJ
costs,54,NNS
america’s,54,JJ
officials,54,NNS
rules,53,NNS
black,53,JJ
daily,53,JJ
cnbc,53,NN
icymi,53,NN
theres,53,NNS
sc,53,JJ
current,53,JJ
defend,53,NN
anthony,53,NN
hundreds,53,NNS
fema,53,JJ
approved,53,JJ
impact,53,NN
travel,53,NN
loss,53,NN
construction,53,NN
eyes,53,NNS
solution,52,NN
games,52,NNS
jong,52,JJ
handle,52,JJ
joan,52,NN
legislation,52,NN
